location_name,target,a,b,n
"IGNOU_Maidan Garhi, Delhi - DPCC",pm10,1.1334604763080627,-23.121262834239463,180
"IGNOU_Maidan Garhi, Delhi - DPCC",pm25,1.0457323094337747,-2.4101232942153104,180
"IHBAS, Dilshad Garden,New Delhi - CPCB",no,0.8459955275945357,2.9467323561097696,180
"IHBAS, Dilshad Garden,New Delhi - CPCB",no2,0.9105434844150389,3.6598765477406783,180
"IHBAS, Dilshad Garden,New Delhi - CPCB",nox,0.979281794925611,1.6493955310957087,180
"IHBAS, Dilshad Garden,New Delhi - CPCB",o3,1.103770470980912,-1.7706488487343846,180
"IHBAS, Dilshad Garden,New Delhi - CPCB",pm10,0.9537798710526604,-1.6227619167862701,180
"IHBAS, Dilshad Garden,New Delhi - CPCB",pm25,1.2847118820170316,-17.254629521766372,180
"JNU, Delhi - DPCC",no,0.8511555240405352,-1.0160474281674308,180
"JNU, Delhi - DPCC",no2,0.9977760654594444,-0.7130010915911235,180
"JNU, Delhi - DPCC",nox,1.0259927277069456,-4.67597054072197,180
"JNU, Delhi - DPCC",o3,1.1317352658115634,-3.7019906581938002,180
"JNU, Delhi - DPCC",pm10,1.0657868171650215,-13.597409925035638,180
"JNU, Delhi - DPCC",pm25,1.0887049958490733,-6.4246929594938855,180
"Lodhi Road, New Delhi - IMD",no,1.0381893450199624,-3.6339503784071003,180
"Lodhi Road, New Delhi - IMD",no2,0.8492715137626998,1.5347362454629276,180
"Lodhi Road, New Delhi - IMD",nox,0.984000515915576,-3.4509796951706395,180
"Lodhi Road, New Delhi - IMD",o3,1.067332449164776,-2.2173653085959577,180
"Lodhi Road, New Delhi - IMD",pm10,1.029375441853093,-6.810360034528844,180
"Lodhi Road, New Delhi - IMD",pm25,1.0253355271424172,-4.544206567680239,180
"Major Dhyan Chand National Stadium, Delhi - DPCC",no,1.0406570122764047,-2.6874955298274354,180
"Major Dhyan Chand National Stadium, Delhi - DPCC",no2,0.8605150133664303,6.667443581093114,180
"Major Dhyan Chand National Stadium, Delhi - DPCC",nox,0.9640900951040694,2.3799902130208346,180
"Major Dhyan Chand National Stadium, Delhi - DPCC",o3,0.8713589579455299,2.71727346862031,180
"Major Dhyan Chand National Stadium, Delhi - DPCC",pm10,1.0121917268002205,-7.247261478816042,180
"Major Dhyan Chand National Stadium, Delhi - DPCC",pm25,1.087492041102705,-10.28438693628768,180
"Mandir Marg, New Delhi - DPCC",no,0.9892241556977248,-2.0923340489536706,180
"Mandir Marg, New Delhi - DPCC",no2,0.9557219249313116,-1.291295434294491,180
"Mandir Marg, New Delhi - DPCC",nox,1.007082377840514,-3.310302664981872,180
"Mandir Marg, New Delhi - DPCC",o3,0.75,10.6607715705822,180
"Mandir Marg, New Delhi - DPCC",pm10,0.9553721631560106,8.08710382703088,180
"Mandir Marg, New Delhi - DPCC",pm25,1.2259339518409824,-16.931126002537177,180
"Mundka, Delhi - DPCC",no,0.9574126742324647,1.025238263982252,180
"Mundka, Delhi - DPCC",no2,1.1176333355149641,-3.648634748703769,180
"Mundka, Delhi - DPCC",nox,1.0495675317490263,2.567616274787552,180
"Mundka, Delhi - DPCC",o3,1.0880679805286344,-3.9388078447557917,180
"Mundka, Delhi - DPCC",pm10,1.0709404052780036,-19.34120815765468,180
"Mundka, Delhi - DPCC",pm25,1.225356757056115,-19.36195257514663,180
"Punjabi Bagh, Delhi - DPCC",no,0.75,1.2325282969696423,180
"Punjabi Bagh, Delhi - DPCC",no2,0.985709101186443,-0.4767062553749519,180
"Punjabi Bagh, Delhi - DPCC",nox,0.8556024863581663,1.9687206820441412,180
"Punjabi Bagh, Delhi - DPCC",o3,0.9208409938260733,2.087570835013057,180
"Punjabi Bagh, Delhi - DPCC",pm10,0.9822858159610356,0.4866495664838545,180
"Punjabi Bagh, Delhi - DPCC",pm25,1.1467808917968583,-13.31325822142111,180
"Pusa, Delhi - DPCC",no,1.1114385478161044,-4.935700161753883,180
"Pusa, Delhi - DPCC",no2,0.9572917902388243,2.115067439434864,180
"Pusa, Delhi - DPCC",nox,1.0186048865311674,-1.3174293573445441,180
"Pusa, Delhi - DPCC",o3,0.9450684652578736,-0.56268723907414,180
"Pusa, Delhi - DPCC",pm10,1.053323072747065,-13.327109252751976,180
"Pusa, Delhi - DPCC",pm25,1.0937135020401247,-9.38523845562355,180
"Pusa, Delhi - IMD",no,0.9911165953810323,-2.528709544825865,180
"Pusa, Delhi - IMD",no2,0.8480391228849844,2.966124078957056,180
"Pusa, Delhi - IMD",nox,0.8834992795068763,3.2448129625969204,180
"Pusa, Delhi - IMD",o3,1.0219548754757763,-1.274083491301802,180
"Pusa, Delhi - IMD",pm10,0.9989408772235423,-3.6774020192029604,180
"Pusa, Delhi - IMD",pm25,1.020812080192421,-4.98543638285073,180
"R K Puram, Delhi - DPCC",no,1.1144909855730138,-4.180570767450756,180
"R K Puram, Delhi - DPCC",no2,0.9739632447735954,0.5998489496352282,180
"R K Puram, Delhi - DPCC",nox,1.0107494080096728,-1.8658004108357948,180
"R K Puram, Delhi - DPCC",o3,1.0171828418160431,-2.010815511598935,180
"R K Puram, Delhi - DPCC",pm10,1.0856704593171562,-17.297817987839732,180
"R K Puram, Delhi - DPCC",pm25,1.1438606708768932,-13.085010475471895,180
"Shadipur, Delhi - CPCB",no,0.7672017748795327,0.8498894834953973,180
"Shadipur, Delhi - CPCB",no2,0.9347075170817134,1.8582307131699471,180
"Shadipur, Delhi - CPCB",nox,0.9538205239139677,0.08874311648643554,180
"Shadipur, Delhi - CPCB",o3,0.75,13.51377633730792,180
"Shadipur, Delhi - CPCB",pm10,1.0229192126909468,-13.441044072737448,180
"Shadipur, Delhi - CPCB",pm25,1.3508729055711113,-27.43748819812351,180
"Sri Aurobindo Marg, Delhi - DPCC",no,0.8989995402088494,-1.2295365238059057,180
"Sri Aurobindo Marg, Delhi - DPCC",no2,0.912068034928865,2.711157138140831,180
"Sri Aurobindo Marg, Delhi - DPCC",nox,0.8851847823939463,2.5606448328465032,180
"Sri Aurobindo Marg, Delhi - DPCC",o3,1.06890457573708,-3.294219306861644,180
"Sri Aurobindo Marg, Delhi - DPCC",pm10,1.00143791267279,-3.7023523105695357,180
"Sri Aurobindo Marg, Delhi - DPCC",pm25,0.9697848558080941,-1.421824190599094,180
"Talkatora Garden, Delhi - DPCC",no,0.9811923502321948,-1.343419970753147,180
"Talkatora Garden, Delhi - DPCC",no2,0.9063117103909242,1.0604389178969351,180
"Talkatora Garden, Delhi - DPCC",nox,1.0689106129619315,-5.044938723101538,180
"Talkatora Garden, Delhi - DPCC",o3,1.1059510992668726,-2.0069363694989426,180
"Talkatora Garden, Delhi - DPCC",pm10,1.0966696037373702,-17.531017580828674,180
"Talkatora Garden, Delhi - DPCC",pm25,1.0864297309337996,-5.5424794328365365,180
"Wazirpur, Delhi - DPCC",pm10,1.019641109455907,-6.3137339648715525,180
"Wazirpur, Delhi - DPCC",pm25,1.2715674679935325,-22.371199691671247,180
